compra_venta,cantidad,precio,ofertada_casada
C,20.0,69.74,O
C,391.2,67.00,O
C,5.9,65.00,O
C,1.2,65.00,O
C,0.9,65.00,O
C,0.2,65.00,O
C,10.0,64.74,O
C,1.8,60.00,O
C,52.0,60.00,O
C,2.0,60.00,O
C,0.5,60.00,O
C,1.4,60.00,O
C,9.1,60.00,O
C,3.0,60.00,O
C,1.0,57.40,O
C,1.9,55.00,O
C,1.0,54.40,O
C,135.8,52.90,O
C,1.3,52.90,O
C,0.2,52.90,O
C,2.6,52.90,O
C,34.9,52.90,O
C,17.3,52.90,O
C,7.6,52.90,O
C,7.5,52.90,O
C,3.0,52.90,O
C,0.3,52.90,O
C,0.1,52.90,O
C,0.4,52.90,O
C,0.1,52.90,O
C,0.5,52.90,O
C,7.4,52.90,O
C,5.3,52.90,O
C,2.0,52.90,O
C,1.4,52.90,O
C,8.2,52.90,O
C,5.1,50.00,O
C,6.0,49.90,O
C,35.7,49.90,O
C,16.9,49.90,O
C,37.8,46.45,O
C,38.0,44.90,O
C,14.8,44.00,O
C,37.8,42.45,O
C,9.7,41.20,O
C,13.1,40.00,O
C,4.9,39.80,O
C,28.4,38.45,O
C,1.0,38.00,O
C,4.0,38.00,O
C,3.5,38.00,O
C,28.4,34.45,O
C,14.8,30.65,O
C,28.4,30.45,O
C,6.0,30.00,O
C,52.0,30.00,O
C,8.1,30.00,O
C,11.6,30.00,O
C,4.3,30.00,O
C,0.1,30.00,O
C,73.0,30.00,O
C,35.0,30.00,O
C,14.8,29.90,O
C,89.0,29.10,O
C,5.0,29.00,O
C,190.0,28.50,O
C,190.0,28.20,O
C,190.0,28.10,O
C,205.0,28.00,O
C,205.0,27.70,O
C,28.4,27.45,O
C,205.0,27.30,O
C,138.0,27.00,O
C,90.0,26.95,O
C,138.0,26.80,O
C,25.0,26.75,O
C,205.0,26.65,O
C,138.0,26.60,O
C,72.0,26.50,O
C,138.0,26.50,O
C,73.0,26.49,O
C,73.0,26.48,O
C,138.0,26.40,O
C,89.0,26.10,O
C,78.0,25.50,O
C,105.0,25.00,O
C,72.0,25.00,O
C,100.0,25.00,O
C,25.7,23.90,O
C,3.3,23.90,O
C,6.4,23.90,O
C,11.2,23.00,O
C,50.0,22.51,O
C,100.0,21.99,O
C,105.0,21.99,O
C,20.0,21.51,O
C,7.6,21.40,O
C,3.7,21.40,O
C,11.2,21.40,O
C,12.8,21.40,O
C,88.0,20.10,O
C,50.0,20.00,O
C,8.4,19.00,O
C,20.0,18.51,O
C,14.6,18.40,O
C,14.8,17.65,O
C,70.0,17.40,O
C,14.8,16.90,O
C,20.0,15.51,O
C,12.2,15.00,O
C,5.6,14.00,O
C,92.0,12.50,O
C,0.1,10.00,O
C,0.1,10.00,O
C,0.1,10.00,O
C,44.7,10.00,O
C,6.8,10.00,O
C,0.1,10.00,O
C,13.0,8.74,O
C,94.0,5.10,O
C,6.8,5.00,O
C,68.0,5.00,O
C,67.0,4.00,O
C,13.0,3.74,O
C,51.2,3.00,O
C,41.0,2.50,O
C,52.0,2.13,O
C,0.1,2.00,O
C,49.2,2.00,O
C,7.4,2.00,O
C,42.6,2.00,O
C,0.1,2.00,O
C,57.4,1.50,O
C,14.0,1.20,O
C,52.0,1.13,O
C,12.7,1.00,O
C,37.3,1.00,O
C,57.4,1.00,O
C,20.3,1.00,O
C,0.1,1.00,O
C,18.6,0.50,O
C,10.3,0.50,O
C,23.6,0.50,O
C,53.0,0.20,O
