compra_venta,cantidad,precio,ofertada_casada
C,52.0,60.00,O
C,2.0,60.00,O
C,0.6,60.00,O
C,10.9,60.00,O
C,3.5,60.00,O
C,1.0,57.40,O
C,2.1,55.00,O
C,1.0,54.40,O
C,40.0,53.72,O
C,124.8,52.94,O
C,1.3,52.94,O
C,3.4,52.94,O
C,36.0,52.94,O
C,19.0,52.94,O
C,8.6,52.94,O
C,7.7,52.94,O
C,3.4,52.94,O
C,0.4,52.94,O
C,0.1,52.94,O
C,0.4,52.94,O
C,0.2,52.94,O
C,0.5,52.94,O
C,7.2,52.94,O
C,5.3,52.94,O
C,1.7,52.94,O
C,0.3,52.94,O
C,40.0,50.72,O
C,328.8,50.70,O
C,5.4,50.00,O
C,0.1,47.94,O
C,8.7,47.94,O
C,36.7,47.94,O
C,8.1,47.94,O
C,30.0,46.72,O
C,30.0,43.72,O
C,9.7,41.20,O
C,22.0,40.00,O
C,4.4,39.80,O
C,30.0,39.72,O
C,20.0,38.01,O
C,20.0,38.01,O
C,20.0,38.01,O
C,16.2,38.01,O
C,7.4,38.01,O
C,12.1,38.00,O
C,41.4,36.94,O
C,2.3,36.94,O
C,30.0,36.72,O
C,16.5,35.90,O
C,10.0,35.70,O
C,60.0,35.51,O
C,10.0,35.20,O
C,10.0,34.70,O
C,10.0,34.20,O
C,10.0,33.70,O
C,10.0,33.20,O
C,11.1,33.00,O
C,10.0,32.70,O
C,60.0,32.51,O
C,10.0,32.20,O
C,10.0,31.70,O
C,30.0,31.49,O
C,10.0,31.20,O
C,0.1,30.20,O
C,0.1,30.00,O
C,0.1,30.00,O
C,12.1,30.00,O
C,35.0,30.00,O
C,58.0,30.00,O
C,9.0,30.00,O
C,4.3,30.00,O
C,0.1,30.00,O
C,6.0,30.00,O
C,0.1,29.70,O
C,0.1,29.20,O
C,89.0,29.10,O
C,190.0,29.00,O
C,30.0,28.99,O
C,16.6,28.90,O
C,0.1,28.70,O
C,190.0,28.50,O
C,0.1,28.20,O
C,50.0,28.00,O
C,190.0,28.00,O
C,35.9,27.94,O
C,0.6,27.94,O
C,16.4,27.90,O
C,0.1,27.70,O
C,205.0,27.50,O
C,0.1,27.20,O
C,89.0,27.10,O
C,1.0,27.00,O
C,4.0,27.00,O
C,205.0,27.00,O
C,138.0,27.00,O
C,100.2,27.00,O
C,3.5,27.00,O
C,16.6,26.90,O
C,138.0,26.80,O
C,0.1,26.70,O
C,138.0,26.65,O
C,138.0,26.55,O
